month,warehouse_revenue,finance_revenue,variance_inr,cause,finance_action,closed_on,signed_off_by
2024-01,38446071.33,38446071.33,0.00,Matches,No action.,2024-02-09,A. Krishnan (Finance Controller)
2024-02,34887085.55,34887085.55,0.00,Matches,No action.,2024-03-11,A. Krishnan (Finance Controller)
2024-03,41971649.09,42457899.09,486250.00,"Different revenue definition: Finance includes the INR 486,250 institutional invoice outside the till exports.",Take to Finance: agree scope/adjustment policy; this is not a pipeline bug.,2024-04-09,A. Krishnan (Finance Controller)
2024-04,37958457.37,37958457.37,0.00,Matches,No action.,2024-05-10,A. Krishnan (Finance Controller)
2024-05,41764716.40,41764716.40,0.00,Matches,No action.,2024-06-09,A. Krishnan (Finance Controller)
2024-06,38987082.82,38987082.82,0.00,Matches,No action.,2024-07-10,A. Krishnan (Finance Controller)
2024-07,40295160.11,40527291.81,232131.70,Source-data gap: S07 exports for 2024-07-09 through 2024-07-11 are permanently missing; Finance received phone-in totals.,Take to Finance: agree scope/adjustment policy; this is not a pipeline bug.,2024-08-09,A. Krishnan (Finance Controller)
2024-08,45252181.75,45252181.75,0.00,Matches,No action.,2024-09-09,A. Krishnan (Finance Controller)
2024-09,44615037.46,44615037.46,0.00,Matches,No action.,2024-10-10,A. Krishnan (Finance Controller)
2024-10,56359195.92,56359195.92,0.00,Matches,No action.,2024-11-09,A. Krishnan (Finance Controller)
2024-11,51583838.47,51583838.47,0.00,Matches,No action.,2024-12-10,A. Krishnan (Finance Controller)
2024-12,50745259.48,50745209.00,-50.48,Different revenue definition: Finance rounds each bill to INR; warehouse keeps line-level paise precision.,Take to Finance: agree scope/adjustment policy; this is not a pipeline bug.,2025-01-09,A. Krishnan (Finance Controller)
