product_sk,product_name,category_name,net_quantity,revenue_at_price_effective_that_month,lowest_effective_price,highest_effective_price
2073,Pampers Diapers Medium,Baby Care,167.000,263474.23,1577.69,1577.69
2158,Mamypoko Baby Wipes XL,Baby Care,155.000,248590.55,1603.81,1603.81
1639,Huggies Baby Wipes XL,Baby Care,146.000,238142.06,1631.11,1631.11
1265,Daawat Chana Dal 1kg,Staples & Grains,133.000,232788.57,1750.29,1750.29
2137,24 Mantra Toor Dal 10kg,Staples & Grains,117.000,229869.90,1964.70,1964.70
1312,24 Mantra Poha 5kg,Staples & Grains,140.000,226121.00,1615.15,1615.15
1248,Pampers Baby Powder Medium,Baby Care,158.000,219740.08,1390.76,1390.76
1927,Mamypoko Diapers XL,Baby Care,119.000,218610.14,1837.06,1837.06
2065,Mamypoko Baby Soap XL,Baby Care,140.000,209386.80,1495.62,1495.62
2106,Mamypoko Baby Wipes Large,Baby Care,152.000,207765.76,1366.88,1366.88
1306,Dhara Mustard Oil 5L,Edible Oils,121.000,206917.26,1710.06,1710.06
1862,Aashirvaad Whole Wheat Atta 1kg,Staples & Grains,133.000,205914.59,1548.23,1548.23
1023,Aashirvaad Toor Dal 1kg,Staples & Grains,130.000,198721.90,1528.63,1528.63
1691,Pampers Baby Powder Small,Baby Care,131.000,198694.25,1516.75,1516.75
1006,Huggies Diapers Small,Baby Care,108.000,195521.04,1810.38,1810.38
